iter	Passed	Remaining
0	0	86
1	1	79
2	2	77
3	3	74
4	3	72
5	4	71
6	5	69
7	6	69
8	6	69
9	7	69
10	8	68
11	9	68
12	10	67
13	10	67
14	11	66
15	12	66
16	13	66
17	14	66
18	15	65
19	16	65
20	17	64
21	17	63
22	18	62
23	19	61
24	20	61
25	21	60
26	21	59
27	22	58
28	23	57
29	24	56
30	25	55
31	25	55
32	26	54
33	27	53
34	28	53
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	32	47
41	33	45
42	33	44
43	34	43
44	35	42
45	35	42
46	36	41
47	37	40
48	37	39
49	38	38
50	39	37
51	39	36
52	40	35
53	41	35
54	42	34
55	43	34
56	44	33
57	45	32
58	45	31
59	46	31
60	47	30
61	47	29
62	48	28
63	49	27
64	50	26
65	50	26
66	51	25
67	52	24
68	52	23
69	53	22
70	54	22
71	55	21
72	55	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	60	15
79	60	15
80	61	14
81	62	13
82	62	12
83	63	12
84	64	11
85	64	10
86	65	9
87	66	9
88	67	8
89	67	7
90	68	6
91	69	6
92	70	5
93	71	4
94	71	3
95	72	3
96	73	2
97	74	1
98	75	0
99	76	0
