iter	Passed	Remaining
0	1	1074
1	1	991
2	3	998
3	3	944
4	4	893
5	5	856
6	5	827
7	6	815
8	7	798
9	7	786
10	8	772
11	9	763
12	10	759
13	10	757
14	11	752
15	12	744
16	12	738
17	13	736
18	14	731
19	14	726
20	15	723
21	16	728
22	17	725
23	17	724
24	18	720
25	19	716
26	19	712
27	20	708
28	21	705
29	21	702
30	22	699
31	23	699
32	23	697
33	24	695
34	25	692
35	25	690
36	26	689
37	27	687
38	27	686
39	28	684
40	29	682
41	29	682
42	30	685
43	31	684
44	32	685
45	33	687
46	33	686
47	34	684
48	35	684
49	35	682
50	36	681
51	37	680
52	38	679
53	38	678
54	39	679
55	40	678
56	40	677
57	41	675
58	42	673
59	42	672
60	43	672
61	44	677
62	45	681
63	46	680
64	47	683
65	48	683
66	48	682
67	49	680
68	50	678
69	51	677
70	51	676
71	52	677
72	53	677
73	53	675
74	54	673
75	55	672
76	55	670
77	56	668
78	57	667
79	58	667
80	59	673
81	60	672
82	60	667
83	61	666
84	61	666
85	62	665
86	63	664
87	64	663
88	64	662
89	65	661
90	66	660
91	66	660
92	67	659
93	68	658
94	68	656
95	69	655
96	70	653
97	70	652
98	71	651
99	72	652
100	73	651
101	73	651
102	74	650
103	75	648
104	76	648
105	76	647
106	77	646
107	78	645
108	79	650
109	80	650
110	81	648
111	81	647
112	82	646
113	82	644
114	83	643
115	84	642
116	84	640
117	85	639
118	86	637
119	87	642
120	88	642
121	88	639
122	89	639
123	90	638
124	91	638
125	92	639
126	92	638
127	93	639
128	94	638
129	95	637
130	95	636
131	96	635
132	97	635
133	98	635
134	99	634
135	99	634
136	101	638
137	102	637
138	102	637
139	103	635
140	104	635
141	104	633
142	106	635
143	106	635
144	107	634
145	108	633
146	108	632
147	109	631
148	110	630
149	111	629
150	111	629
151	112	628
152	113	628
153	114	627
154	115	631
155	116	630
156	117	629
157	118	629
158	119	630
159	119	629
160	120	627
161	121	626
162	121	624
163	122	623
164	123	622
165	123	621
166	124	620
167	125	619
168	125	618
169	126	617
170	127	616
171	128	619
172	129	620
173	130	619
174	131	618
175	132	618
176	132	617
177	133	616
178	134	615
179	134	613
180	135	612
181	136	611
182	136	610
183	137	609
184	138	608
185	138	607
186	139	606
187	140	605
188	141	606
189	142	606
190	143	607
191	144	606
192	144	605
193	145	604
194	146	603
195	146	602
196	147	601
197	148	600
198	148	599
199	149	597
200	150	596
201	150	595
202	151	594
203	152	594
204	152	592
205	153	591
206	154	590
207	154	589
208	155	588
209	156	587
210	156	587
211	157	585
212	158	585
213	159	584
214	159	583
215	160	581
216	160	580
217	161	579
218	162	578
219	162	577
220	163	576
221	164	575
222	164	574
223	165	572
224	166	571
225	166	570
226	167	569
227	167	568
228	168	568
229	169	567
230	170	566
231	170	565
232	171	564
233	172	563
234	172	562
235	173	561
236	174	560
237	174	559
238	175	558
239	176	557
240	176	556
241	177	555
242	177	554
243	178	553
244	179	552
245	179	551
246	180	550
247	181	549
248	181	548
249	182	547
250	183	546
251	184	547
252	185	548
253	186	548
254	187	547
255	188	546
256	188	546
257	189	545
258	191	546
259	191	546
260	192	545
261	193	544
262	194	543
263	194	543
264	195	542
265	196	542
266	197	541
267	198	541
268	200	543
269	200	542
270	201	542
271	202	541
272	202	540
273	203	539
274	204	538
275	204	537
276	205	536
277	206	535
278	206	534
279	207	533
280	208	532
281	208	531
282	209	531
283	210	530
284	211	529
285	211	528
286	213	529
287	213	528
288	214	527
289	215	526
290	215	526
291	216	525
292	217	524
293	218	524
294	219	523
295	219	522
296	220	521
297	221	521
298	221	520
299	223	521
300	224	520
301	225	520
302	225	519
303	226	519
304	227	518
305	228	518
306	229	517
307	229	516
308	230	515
309	231	515
310	232	514
311	233	514
312	233	513
313	234	512
314	235	511
315	235	510
316	236	510
317	237	509
318	238	508
319	238	507
320	239	506
321	240	507
322	242	507
323	242	506
324	243	505
325	244	504
326	244	503
327	245	503
328	246	502
329	246	501
330	247	500
331	248	499
332	248	498
333	249	497
334	250	496
335	250	495
336	251	494
337	252	493
338	252	492
339	253	491
340	254	490
341	254	490
342	256	490
343	256	489
344	257	488
345	258	487
346	258	486
347	259	485
348	259	484
349	260	483
350	261	483
351	261	482
352	262	481
353	263	480
354	263	479
355	264	478
356	265	477
357	265	476
358	266	475
359	267	474
360	267	473
361	268	473
362	269	472
363	269	471
364	270	470
365	271	469
366	271	468
367	272	468
368	273	467
369	273	466
370	274	465
371	275	464
372	275	463
373	276	462
374	277	462
375	277	461
376	278	460
377	279	459
378	279	458
379	280	457
380	280	456
381	281	455
382	282	454
383	283	454
384	283	453
385	284	452
386	285	451
387	285	450
388	286	449
389	287	448
390	287	448
391	288	447
392	288	446
393	289	445
394	290	444
395	290	443
396	291	442
397	292	441
398	292	441
399	293	440
400	294	439
401	294	438
402	295	437
403	296	436
404	296	436
405	297	435
406	298	434
407	298	433
408	299	432
409	300	431
410	300	431
411	301	430
412	302	429
413	302	428
414	303	427
415	304	426
416	304	426
417	305	425
418	306	424
419	306	423
420	307	422
421	308	422
422	308	421
423	309	420
424	310	420
425	311	419
426	312	418
427	312	417
428	313	417
429	314	416
430	315	415
431	315	415
432	316	414
433	317	413
434	318	413
435	318	412
436	319	411
437	320	410
438	320	410
439	321	409
440	322	408
441	323	407
442	323	406
443	325	408
444	326	407
445	327	406
446	328	405
447	329	405
448	329	404
449	330	403
450	331	403
451	331	402
452	332	401
453	333	400
454	333	399
455	334	399
456	335	398
457	335	397
458	336	396
459	337	395
460	338	395
461	339	395
462	340	394
463	341	394
464	341	393
465	342	392
466	343	391
467	343	390
468	344	389
469	345	389
470	345	388
471	346	387
472	347	386
473	347	385
474	348	384
475	348	384
476	349	383
477	350	382
478	350	381
479	351	380
480	352	380
481	353	379
482	353	378
483	354	377
484	355	377
485	355	376
486	356	375
487	357	374
488	357	374
489	358	373
490	359	372
491	359	371
492	360	370
493	361	370
494	361	369
495	362	368
496	363	367
497	363	366
498	364	365
499	364	364
500	365	364
501	366	363
502	367	362
503	368	362
504	368	361
505	369	360
506	370	359
507	370	359
508	371	358
509	372	357
510	372	356
511	373	355
512	374	355
513	374	354
514	375	353
515	375	352
516	376	351
517	377	351
518	377	350
519	378	349
520	379	348
521	380	348
522	380	347
523	381	346
524	382	345
525	382	344
526	383	344
527	384	343
528	384	342
529	385	341
530	386	341
531	386	340
532	387	339
533	388	338
534	388	337
535	389	336
536	389	336
537	390	335
538	391	334
539	391	333
540	392	332
541	393	332
542	393	331
543	394	330
544	395	329
545	395	329
546	396	328
547	397	327
548	397	326
549	398	326
550	399	325
551	399	324
552	400	323
553	401	322
554	401	322
555	402	321
556	403	320
557	403	319
558	404	319
559	405	318
560	405	317
561	406	316
562	407	315
563	407	315
564	408	314
565	409	313
566	409	313
567	410	312
568	411	311
569	411	310
570	412	309
571	413	309
572	413	308
573	414	307
574	415	306
575	415	306
576	416	305
577	417	304
578	417	303
579	418	302
580	419	302
581	419	301
582	420	300
583	421	299
584	421	299
585	422	298
586	423	298
587	424	297
588	425	296
589	425	295
590	426	295
591	427	294
592	428	293
593	429	293
594	429	292
595	430	291
596	431	291
597	431	290
598	432	289
599	433	288
600	433	287
601	434	287
602	435	286
603	435	285
604	436	285
605	437	284
606	437	283
607	438	282
608	439	282
609	440	281
610	440	280
611	441	279
612	442	279
613	442	278
614	443	277
615	444	276
616	444	276
617	445	275
618	446	274
619	447	274
620	447	273
621	448	272
622	449	271
623	450	271
624	451	271
625	452	270
626	453	269
627	454	268
628	454	268
629	455	267
630	456	266
631	456	265
632	457	265
633	458	264
634	458	263
635	459	262
636	460	262
637	461	261
638	462	261
639	462	260
640	463	259
641	464	258
642	465	258
643	465	257
644	466	256
645	467	256
646	467	255
647	468	254
648	469	253
649	469	252
650	470	252
651	471	251
652	471	250
653	472	249
654	473	249
655	473	248
656	474	247
657	475	246
658	475	246
659	476	245
660	477	244
661	477	243
662	478	243
663	479	242
664	479	241
665	480	240
666	481	240
667	481	239
668	482	238
669	483	237
670	483	237
671	484	236
672	485	235
673	485	234
674	486	234
675	487	233
676	488	232
677	488	232
678	489	231
679	490	230
680	490	229
681	491	229
682	492	228
683	492	227
684	493	226
685	494	226
686	494	225
687	495	224
688	495	223
689	496	223
690	497	222
691	497	221
692	498	220
693	499	220
